"Level";"Place0";"Place1";"Place2";"Longitude";"Latitude";"Zoom";"Icon"
2;"Switzerland";"Zürich (ZH)";"Volken";"E8.62900";"N47.57283";;
2;"Switzerland";"Zürich (ZH)";"Bachenbülach";"E8.54643";"N47.50356";;
2;"Switzerland";"Zürich (ZH)";"Bassersdorf";"E8.62783";"N47.44430";;
2;"Switzerland";"Zürich (ZH)";"Bülach";"E8.54086";"N47.51707";;
2;"Switzerland";"Zürich (ZH)";"Dietlikon";"E8.61578";"N47.42552";;
2;"Switzerland";"Zürich (ZH)";"Eglisau";"E8.52603";"N47.57518";;
2;"Switzerland";"Zürich (ZH)";"Embrach";"E8.59521";"N47.50122";;
2;"Switzerland";"Zürich (ZH)";"Freienstein";"E8.59085";"N47.53261";;
2;"Switzerland";"Zürich (ZH)";"Teufen ZH";"E8.56738";"N47.54989";;
2;"Switzerland";"Zürich (ZH)";"Glattfelden";"E8.49894";"N47.55880";;
2;"Switzerland";"Zürich (ZH)";"Zweidlen";"E8.46666";"N47.56092";;
2;"Switzerland";"Zürich (ZH)";"Hochfelden";"E8.51547";"N47.52335";;
2;"Switzerland";"Zürich (ZH)";"Höri";"E8.50844";"N47.50742";;
2;"Switzerland";"Zürich (ZH)";"Hüntwangen";"E8.49291";"N47.59544";;
2;"Switzerland";"Zürich (ZH)";"Kloten";"E8.58437";"N47.45253";;
2;"Switzerland";"Zürich (ZH)";"Lufingen";"E8.59366";"N47.49039";;
2;"Switzerland";"Zürich (ZH)";"Nürensdorf";"E8.64920";"N47.44797";;
2;"Switzerland";"Zürich (ZH)";"Oberembrach";"E8.61742";"N47.48740";;
2;"Switzerland";"Zürich (ZH)";"Glattbrugg";"E8.56818";"N47.43383";;
2;"Switzerland";"Zürich (ZH)";"Opfikon";"E8.57742";"N47.43221";;
2;"Switzerland";"Zürich (ZH)";"Glattpark (Opfikon)";"E8.56167";"N47.42324";;
2;"Switzerland";"Zürich (ZH)";"Rafz";"E8.53498";"N47.61438";;
2;"Switzerland";"Zürich (ZH)";"Rorbas";"E8.57811";"N47.52897";;
2;"Switzerland";"Zürich (ZH)";"Wallisellen";"E8.59179";"N47.41267";;
2;"Switzerland";"Zürich (ZH)";"Wasterkingen";"E8.47261";"N47.59012";;
2;"Switzerland";"Zürich (ZH)";"Wil ZH";"E8.50349";"N47.60268";;
2;"Switzerland";"Zürich (ZH)";"Winkel";"E8.55447";"N47.49250";;
2;"Switzerland";"Zürich (ZH)";"Bachs";"E8.43907";"N47.52505";;
2;"Switzerland";"Zürich (ZH)";"Boppelsen";"E8.40259";"N47.47053";;
2;"Switzerland";"Zürich (ZH)";"Buchs ZH";"E8.43812";"N47.45881";;
2;"Switzerland";"Zürich (ZH)";"Dällikon";"E8.43938";"N47.43993";;
2;"Switzerland";"Zürich (ZH)";"Dänikon ZH";"E8.40540";"N47.44594";;
2;"Switzerland";"Zürich (ZH)";"Dielsdorf";"E8.45355";"N47.48419";;
2;"Switzerland";"Zürich (ZH)";"Hüttikon";"E8.38716";"N47.44608";;
2;"Switzerland";"Zürich (ZH)";"Neerach";"E8.47452";"N47.51348";;
2;"Switzerland";"Zürich (ZH)";"Niederglatt ZH";"E8.50351";"N47.48746";;
2;"Switzerland";"Zürich (ZH)";"Niederhasli";"E8.48381";"N47.48232";;
2;"Switzerland";"Zürich (ZH)";"Nassenwil";"E8.47146";"N47.46576";;
2;"Switzerland";"Zürich (ZH)";"Oberhasli";"E8.49828";"N47.46541";;
